"id","name"
"pharmadus_grouping_troquel","Troquel"
"pharmadus_grouping_ancho_bobina","Ancho bobina"
"pharmadus_grouping_tam_bolsa","Tam. bolsa"
"pharmadus_grouping_tam_doypack","Tam. doypack"
"pharmadus_grouping_bobina_envuelta","Bobina Envuelta"
"pharmadus_grouping_bobina_film","Bobina Film"
"pharmadus_grouping_etiqueta_adhesivo","Etiqueta - Adhesivo"
"pharmadus_grouping_etiqueta_infusi_n","Etiqueta Infusión"
"pharmadus_grouping_formato_hilo","Formato Hilo"
"pharmadus_grouping_formato_malla","Formato Malla"
"pharmadus_grouping_formato_papel","Formato Papel"
"pharmadus_grouping_modelo_caj_n","Modelo Cajón"
"pharmadus_grouping_modelo_troquel","Modelo Troquel"
"pharmadus_grouping_tama_o_bolsa","Tamaño Bolsa"
"pharmadus_grouping_tama_o_bote","Tamaño Bote"
"pharmadus_grouping_tipo_materia_prima","Tipo Materia Prima"
"pharmadus_grouping_tipo_mercader_a","Tipo Mercadería"
