"id","name"
"pharmadus_packaging_bigbag_s","BigBag/s"
"pharmadus_packaging_bobina_s","Bobina/s"
"pharmadus_packaging_bolsa_s","Bolsa/s"
"pharmadus_packaging_bote_s","Bote/s"
"pharmadus_packaging_botella_s","Botella/s"
"pharmadus_packaging_caja_s","Caja/s"
"pharmadus_packaging_estuche_s","Estuche/s"
"pharmadus_packaging_expositor_es","Expositor/es"
"pharmadus_packaging_kraft_s","Kraft/s"
"pharmadus_packaging_palet_s","Palet/s"
"pharmadus_packaging_rollo_s","Rollos/s"
"pharmadus_packaging_saco_s","Saco/s"
"pharmadus_packaging_tarro_s","Tarro/s"
"pharmadus_packaging_unidad_es_suelta_s","Unidad/es suelta/s"
